signal,system,trial,requested_rps,completed_requests,nominal_achieved_rps,effective_completion_rps,elapsed_to_last_completion_s,post_window_drain_s,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,scheduling_mean_us,scheduling_p95_us,scheduling_p99_us,scheduling_max_us,interarrival_mean_us,worker_busy_events,backlog_count,http_errors,connection_errors,timeouts,other_errors,valid_steady_state,invalid_reason
ngram,VSR,4,100,4000,100.0,100.01799231415134,39.992804369,0.0,3136.5500665,2289.8785,8465.03545,14361.201569999996,21510.708,629.08112275,1075.1458499999997,1140.7677499999995,1686.903,9999.991018504626,0,0,0,0,0,0,True,
ngram,LLMR,4,100,4000,100.0,29.230365280162296,136.84399636,96.84399636,136795.81054525,100416.33300000001,346173.2645,434830.71007999993,568182.62,47944223.5350845,89898031.05925,96218189.97348998,96784131.273,34194.86836534133,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
ngram,XSR,5,100,4000,100.0,100.01838664256478,39.992646695,0.0,804.62728125,536.0315,2284.6701,4941.932429999997,8112.339,1020.664784,2003.0453499999999,2103.15128,2598.178,10000.252648662166,0,0,0,0,0,0,True,
ngram,VSR,5,100,4000,100.0,100.01689360345632,39.9932437,0.0,3127.49889875,2274.078,8375.293249999999,14452.526239999997,22563.94,634.3647045,1084.1737500000002,1130.8750199999997,1828.711,10000.006756939234,0,0,0,0,0,0,True,
ngram,LLMR,5,100,4000,100.0,29.595939945947524,135.153673352,95.153673352,135107.628328,98724.144,342993.85390000005,428247.0949999993,562466.73,47349054.9382265,88396463.92619999,94556880.70757999,95098357.17,33772.8827411853,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
bm25,XSR,1,100,4000,100.0,100.01961813795847,39.992154284,0.0,542.174348,493.895,857.7351000000002,1437.2158700000045,4174.182,1106.5218442500002,2050.21025,2169.4996700000015,5049.123,10000.135536634158,0,0,0,0,0,0,True,
bm25,VSR,1,100,4000,100.0,100.0146870417752,39.994126046,0.0,2731.42083225,2563.879,4052.00175,5415.554140000001,8468.068,662.885864,1105.7828000000002,1171.92506,4097.445,10000.064062015505,0,0,0,0,0,0,True,
bm25,LLMR,1,100,4000,100.0,43.7718264480351,91.382981351,51.382981351,91335.50143475,84639.4045,126115.7938,148361.08539999998,378630.599,25871272.6211835,48509106.7108,50918518.86559,51349141.584,22830.41308952238,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
bm25,XSR,2,100,4000,100.0,100.02092994721023,39.991629773,0.0,555.835853,505.241,890.07505,1493.7811000000024,7717.81,1075.97662225,2047.6202999999998,2153.537050000001,4051.118,10000.02449987497,0,0,0,0,0,0,True,
bm25,VSR,2,100,4000,100.0,100.01604530660562,39.993582907,0.0,2790.8596855,2615.971,4150.0721,5577.642790000005,11522.698,654.8877265,1112.7715,1167.9028100000003,5406.771,9999.97452488122,0,0,0,0,0,0,True,
